序号,项目名称,文件日期,类别,类别缩写,文件简述,版本号,签认状态,责任人,存放路径,备注
1,示例项目-2025-001,2025-01-15,签证单,VS,主体结构二层梁板钢筋绑扎签证,v1.0,已签认,张三,01-过程签证/签证单/,
2,示例项目-2025-001,2025-01-20,签证单,VS,地下室防水签证,v1.0,已签认,张三,01-过程签证/签证单/,
3,示例项目-2025-001,2025-02-10,设计变更,BG,外墙保温材料变更通知,v2.0,待确认,李四,02-设计变更/变更通知单/,
4,示例项目-2025-001,2025-02-15,设计变更,BG,5层平面布局调整变更,v1.0,已签认,李四,02-设计变更/变更通知单/,
5,示例项目-2025-001,2025-03-05,隐蔽工程验收,YBGC,1号楼地基验槽记录,v1.0,已签认,王五,04-验收记录/隐蔽工程验收/,
6,示例项目-2025-001,2025-03-20,工程量确认,GCL,1号楼标准层混凝土工程量确认,v1.0,已签认,赵六,05-工程量与计价/工程量确认单/,
7,示例项目-2025-001,2025-04-01,进度款申请,JDK,第4期进度款申请,v1.0,已签认,赵六,05-工程量与计价/进度款申请/,
8,示例项目-2025-001,2025-04-10,甲方来函,JLF,关于地下室防水做法的函,v1.0,已签认,项目秘书,06-往来函件/甲方来函/,
9,示例项目-2025-001,2025-04-15,材料进场,CLJZ,3月钢筋进场验收记录,v1.0,已签认,材料员,03-施工过程/材料进场验收/,
10,示例项目-2025-001,2025-11-05,结算书,JSS,项目整体结算书,v1.0,已签认,赵六,05-工程量与计价/结算书/,
